endpoint,daphne_ch,offline_ch,APA,TPC,det_center_x,det_center_y,det_center_z,ch_center_z
111,24,67,3,2,357.295655,153.65975,115.23625,84.53625
111,42,68,3,2,357.295655,92.909875,115.23625,84.53625
111,25,69,3,2,357.295655,32.16,115.23625,84.53625
111,1,70,3,2,357.295655,578.908875,115.23625,35.33625
111,36,71,3,2,357.295655,518.159,115.23625,35.33625
111,0,72,3,2,357.295655,457.409125,115.23625,35.33625
111,37,73,3,2,357.295655,396.65925,115.23625,35.33625
111,41,74,3,2,357.295655,335.909375,115.23625,35.33625
111,16,75,3,2,357.295655,275.1595,115.23625,35.33625
111,10,76,3,2,357.295655,214.409625,115.23625,35.33625
111,26,77,3,2,357.295655,153.65975,115.23625,35.33625
111,40,78,3,2,357.295655,92.909875,115.23625,35.33625
111,27,79,3,2,357.295655,32.16,115.23625,35.33625
109,20,80,2,5,-357.495655,578.908875,347.29625,427.19625
109,26,81,2,5,-357.495655,518.159,347.29625,427.19625
109,30,82,2,5,-357.495655,457.409125,347.29625,427.19625
109,36,83,2,5,-357.495655,396.65925,347.29625,427.19625
109,0,84,2,5,-357.495655,335.909375,347.29625,427.19625
109,6,85,2,5,-357.495655,275.1595,347.29625,427.19625
109,10,86,2,5,-357.495655,214.409625,347.29625,427.19625
109,16,87,2,5,-357.495655,153.65975,347.29625,427.19625
109,40,88,2,5,-357.495655,92.909875,347.29625,427.19625
109,46,89,2,5,-357.495655,32.16,347.29625,427.19625
109,22,90,2,5,-357.495655,578.908875,347.29625,377.99625
109,24,91,2,5,-357.495655,518.159,347.29625,377.99625
109,32,92,2,5,-357.495655,457.409125,347.29625,377.99625
109,34,93,2,5,-357.495655,396.65925,347.29625,377.99625
109,2,94,2,5,-357.495655,335.909375,347.29625,377.99625
109,4,95,2,5,-357.495655,275.1595,347.29625,377.99625
109,12,96,2,5,-357.495655,214.409625,347.29625,377.99625
109,14,97,2,5,-357.495655,153.65975,347.29625,377.99625
109,42,98,2,5,-357.495655,92.909875,347.29625,377.99625
109,44,99,2,5,-357.495655,32.16,347.29625,377.99625
109,25,100,2,5,-357.495655,578.908875,347.29625,316.59625
109,23,101,2,5,-357.495655,518.159,347.29625,316.59625
109,35,102,2,5,-357.495655,457.409125,347.29625,316.59625
109,33,103,2,5,-357.495655,396.65925,347.29625,316.59625
109,5,104,2,5,-357.495655,335.909375,347.29625,316.59625
109,3,105,2,5,-357.495655,275.1595,347.29625,316.59625
109,15,106,2,5,-357.495655,214.409625,347.29625,316.59625
109,13,107,2,5,-357.495655,153.65975,347.29625,316.59625
109,45,108,2,5,-357.495655,92.909875,347.29625,316.59625
109,43,109,2,5,-357.495655,32.16,347.29625,316.59625
109,27,110,2,5,-357.495655,578.908875,347.29625,267.39625
109,21,111,2,5,-357.495655,518.159,347.29625,267.39625
109,37,112,2,5,-357.495655,457.409125,347.29625,267.39625
109,31,113,2,5,-357.495655,396.65925,347.29625,267.39625
109,7,114,2,5,-357.495655,335.909375,347.29625,267.39625
109,1,115,2,5,-357.495655,275.1595,347.29625,267.39625
109,17,116,2,5,-357.495655,214.409625,347.29625,267.39625
109,11,117,2,5,-357.495655,153.65975,347.29625,267.39625
109,47,118,2,5,-357.495655,92.909875,347.29625,267.39625
109,41,119,2,5,-357.495655,32.16,347.29625,267.39625
104,0,120,1,1,-357.495655,578.908875,115.23625,195.13625
104,6,121,1,1,-357.495655,518.159,115.23625,195.13625
