Run,Shifter,Particle,Beam Energy (GeV),Collimator position (mm),Time Start,,type,TriggerStatus: General Trigger Count (at begin of run),Run Config,Link to start run in elog,Issues/Comments
,,,,,,,,,,,
PROCESSED,,,,,,,,,,,
temporally limited to 16 hdf5 files,,,,,,,,,,,
,1st beam period (19th - 25th June) [Beam scan schedule],,,,,,,,,,
,,,,,,,,,,,
28014,anbalbon,COSMICS,-,-,15.07.24 10:55,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25344,
28015,anbalbon,,-1,40,15.07.24 11:09,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25346,"Low pressure Cherenkov : 1.2 bar; High pressure Cherenkov : 14 bar; Previously, the LP Cherenkov had been at 0.2 bar. Now rejection of about 1/3 of beam triggers in the spill due to seeing light in the LP Cherenkov (before, it seemed more like 5%). Fraction of events with light in the high pressure but not low pressure, though I think at 1 GeV beam we should be below the cherenkov threshold for muons and pions still, so that may help be a measure of the inefficiency in the trigger."
28016,anbalbon,COSMICS,-,-,15.07.24 14:14,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25350,Daphne timing errors since 15-07-2024 22:53
28023,chasnip,,-1,40,16.07.24 17:07,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25373,DAPHNE board 107 dead. Reset clock APA4 at 17:17 [Manuel]
28024,vcicero,COSMICS,-,-,17.07.24 7:45,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25377,
28025,ktellezg,COSMICS,-,-,17.07.24 9:44,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25381,
28035,jgoudeau,COSMICS,-,-,17.07.24 13:35,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25401,"Manuel swapped out the DAPHNE controller 7 board with controller 10 (APA1 streaming readout), and moved the firmware back to the simpler threshold algorithm. This change is valid as of run 28035.Unfortunately, as the IP address of the controller board needs to match the slot number as of now, we had to change the mapping in the DAPHNE readout, so now what was in 'slot 7' is now slot 10. This will impact that offline channel mapping (and perhaps also the DQM?)."
28046,rraut,COSMICS,-,-,17.07.24 17:30,,COSMIC,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25406,fddaq v4.4.4
28047,rraut,COSMICS,-,-,17.07.24 18:22,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25409,Change of run to recover 1 channel in APA1 failed
28048,rraut,,-1,,17.07.24 19:37,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25411,
28049,rraut,,-1,20,17.07.24 19:59,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25414,"Beams were back shortly after 16:00 but we had no beam as PPE154 was open (GIF++). We also have an unstable magnet, BEND.022.652."
28051,jgoudeau,,1,40,18.07.24 9:30,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25421,
28052,jgoudeau,,1,40,18.07.24 10:04,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25423,DAPHNE threshold at 80 ADC
28053,jgoudeau,COSMICS,-,-,18.07.24 11:56,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25425,
28054,jgoudeau,,1,40,18.07.24 12:19,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25427,DAPHNE threshold at 80 ADC
28055,jgoudeau,COSMICS,-,-,18.07.24 14:48,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25429,beam down
28056,jgoudeau,COSMICS,-,-,18.07.24 15:06,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25431,
28057,jgoudeau,COSMICS,-,-,18.07.24 15:20,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25433,
28058,jgoudeau,COSMICS,-,-,18.07.24 15:40,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25435,
28059,aminotti,,1,20 (?),18.07.24 16:06,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25438,beam back. night run (stable)
28065,emontagn,,1,,19.07.24 15:25,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25453,10 min run
28066,emontagn,,1,,19.07.24 15:41,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25455,10 min run
28070,wketchum,,1,,19.07.24 17:17,,,,TPC+PDS+TPG with the PDS superchunk factor 3,https://pdsp-elog.app.cern.ch/elisa/display/25465,fixed a bug in the readout of the PDS on APAs 2-4 (the self-triggered readout)
28071,ggurung,,1,,19.07.24 19:21,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25468,
28072,ggurung,,1,,19.07.24 20:38,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25470,
28073,aoranday,COSMICS,-,-,20.07.24 8:59,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25478,
28075,aoranday,,1,,20.07.24 10:32,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25481,
28076,aoranday,,1,,20.07.24 10:54,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25483,Lowered PDS packet rate
28082,aoranday,COSMICS,-,-,20.07.24 15:42,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25496,Data collected during beam run with PDS up to this point is likely affected by the self-triggered redout (FELIX droping paquets)
28083,herazafi,,1,20,20.07.24 17:49,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25498,
28084,herazafi,COSMICS,-,-,20.07.24 18:58,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25500,
28085,herazafi,,1,20,20.07.24 21:28,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25502,
28086,aoranday,,-1,40,21.07.24 8:31,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25507,
28088,mzabloud,,-1,40,22.07.24 11:40,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25521,changes in the dev area
28090,mzabloud,COSMICS,-,-,22.07.24 13:44,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25525,no beam for approximately 15 minutes between 13:40 - 14:55
28091,mzabloud,,-1,40,22.07.24 13:56,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25527,
28092,ktellezg,,-1,40,22.07.24 14:39,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25530,
28094,ktellezg,COSMICS,-,-,22.07.24 20:47,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25533,Beam went off at about 8:30 PM
28095,mman,,-1,40,23.07.24 1:16,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25536,
28096,mman,COSMICS,-,-,23.07.24 6:11,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25540,
